id,start_date,lat,lon,l3,surface_total,surface_covered,price,title,property_type,operation_type
YUqEveDfHjOWGM93WEE5aA==,2019-05-31,-34.5991827,-58.4251773,Almagro,57.0,52.0,17000.0,Lindísimo piso de 3 ambientes con balcón en excelente ubicación!,Departamento,Alquiler
PoqlL4OEXe9k6fhvnRJoDA==,2019-06-08,-34.5919448,-58.3936088,Recoleta,31.0,31.0,14000.0,Departamento - Recoleta,Departamento,Alquiler
8L3aSBD2tLr2JGrlCA3Vwg==,2019-04-09,-34.6044878,-58.4523072,Villa Crespo,80.0,65.0,25000.0,PH EN ALQUILER,PH,Alquiler
3eGy2hvFP+RC7Cibl62K2w==,2019-06-15,-34.5893888858,-58.4017334302,Barrio Norte,40.0,40.0,19000.0,Local Comercial. Planta Baja: 40 m². Apto todo destino.,Local comercial,Alquiler
gDlIV5+M8E0xT6mJZ2g8KQ==,2019-03-08,-34.568016,-58.450757,Belgrano,30.0,30.0,14000.0,ALQUILER 2 AMBIENTES EN BELGRANO!!,Departamento,Alquiler
7/pHMXYQgXKDY1B/4zEIjw==,2019-01-27,-34.612113,-58.435233,Caballito,83.0,42.0,20000.0,"Depto 2 amb. Balcón, Terraza y Cochera Caballito",PH,Alquiler
bc4aY8mope8KrNFOWn2QwA==,2019-04-17,-34.622993,-58.441273,Caballito,35.0,35.0,12000.0,Alquiler Departamento en Caballito Capital Federal ALBERDI 920,Departamento,Alquiler
1EIg73XfzM0eM3pEMysJDQ==,2019-05-03,-34.617558,-58.461899,Caballito,50.0,46.0,16000.0,Alquiler Departamento en Caballito Capital Federal Andres Lamas 839,Departamento,Alquiler
h0MviKerFlwDvrc70JgQTg==,2019-01-18,-34.5805214352,-58.4115536624,Palermo,46.0,42.0,20000.0,CABELLO 3600 - APTO PROFESIONAL   AMENITIES - PISCINA   -  2AMB,Departamento,Alquiler
Xbr9mFWKyI9QQf+Qob5QlA==,2019-04-09,-34.5811207,-58.4098961,Barrio Norte,40.0,36.0,32000.0,A Estrenar Monoambiente 40 m2 Salguero y Cerviño Amenities Palermo Joy Equipado y Amueblado,Departamento,Alquiler
